	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
RL13A	12.65924063	12.17376674	3.260207739	3.488873829	11.76394209	1.307677104	11.622591	3.643610544	2.124622121	12.84429264	3.631860602	4.158809015
CATD	1.307677104	12.17542392	12.65206145	11.46731422	10.98580187	10.08185443	12.38310691	3.219779621	3.050922541	2.197285084	4.137113892	12.8866519
GLNA	13.96562061	2.410119678	12.73724371	9.631603689	10.95818646	12.20092585	12.96519602	3.039919248	14.53474229	15.11218802	3.796326033	14.19124577
RL21	10.87285749	2.09646585	1.307677104	2.096146189	9.262578106	9.325774041	11.13837701	13.63024505	12.83965204	2.804945452	3.631860602	3.265313205
CRNN	1.307677104	12.25885158	4.458617828	10.66934945	10.74202589	12.12898547	9.787501776	1.307677104	3.050922541	12.61061508	3.098691955	12.27515366
RS6	11.77074838	3.680031809	1.307677104	3.679221374	11.87761813	11.62062612	11.84190577	3.039919248	13.8394056	12.09969572	3.224664234	6.205331563
ADH7	11.10153121	11.86835594	11.41202836	6.880645801	10.68147774	1.307677104	11.24779616	1.307677104	3.050922541	13.78901862	3.224664234	11.88843515
RS23	12.16670057	8.429561513	12.54871887	2.832362516	1.307677104	9.87429011	10.53439949	13.68585694	2.448549528	3.347297238	2.958179789	11.38304561
NLRC3	11.37639174	13.58338683	16.06206121	8.646008555	13.78125397	14.48997067	12.18113922	2.828232304	14.63567766	13.27985663	14.92957338	2.157288903
RL7A	11.89356687	2.6428215	13.2342328	4.609227465	11.25280325	12.71127237	12.38219725	3.039919248	3.050922541	11.83052339	3.224664234	11.94255164
MYPC2	7.247195137	9.970487866	4.886922148	1.307677104	11.20154457	9.442881291	12.9132453	11.63375881	2.883909261	1.307677104	13.71471868	12.2463201
ADA	10.48909469	12.26908741	3.838912523	3.587463135	5.511954812	4.714920026	10.31076064	4.900252509	3.838427792	14.44189273	13.9507687	1.307677104
ISK5	11.35739815	11.25180492	2.827627227	1.307677104	10.08434453	8.118053272	11.37120822	12.7884693	2.448549528	12.5882581	2.798538486	11.95929515
PDK4	3.087464836	12.87499673	12.39567958	13.65596852	13.1785247	12.54824465	13.4016432	5.166912317	3.197562257	8.903884241	3.098691955	12.54227147
GBRAP	1.307677104	1.307677104	9.122900398	1.307677104	8.503043016	9.809054737	10.78827858	12.17128438	2.448549528	9.158078621	1.307677104	11.0944506
RS3	1.307677104	10.46290659	5.185945867	12.15421382	12.3308493	11.92206796	11.12484509	2.828232304	2.883909261	12.100015	3.098691955	11.33598804
TYB4	10.04688091	1.307677104	2.989807412	2.096146189	11.07513587	7.143205581	1.307677104	3.964362386	11.84254832	1.307677104	11.65925813	1.307677104
RS3A	12.05179925	7.255861754	2.827627227	3.265985777	11.28428127	2.116159092	9.626287421	3.643610544	3.197562257	12.45906244	13.47832745	12.16898212
CLCA1	1.307677104	3.846669426	2.406119777	1.307677104	1.307677104	2.116159092	1.307677104	3.643610544	3.657310466	12.99284032	14.22165324	2.493024408
BPIA2	2.968667106	1.307677104	6.338289794	4.931737332	2.006072899	4.184200037	1.307677104	7.005365983	4.20769823	18.06872143	7.221805938	5.08445402
RS27A	11.24004996	11.89934222	2.093538931	11.56258174	3.601181518	10.35139061	10.6477416	2.56710012	11.80754129	2.197285084	2.798538486	11.39729411
RL27	10.21253832	1.307677104	11.01279008	9.352630429	1.307677104	7.076515413	9.595222538	13.00775819	12.31302336	2.804945452	2.798538486	11.78819317
TAR1	10.36845972	8.176949055	15.09625389	12.69421765	13.83789259	13.14009692	12.87818756	3.039919248	10.21208389	2.197285084	13.69647903	4.837632731
DSG3	11.35202136	4.308421579	14.07943043	12.68328625	12.22573428	9.094738133	11.90025842	15.33657861	9.135791844	12.84353012	2.384258549	2.493024408
SDC1	2.968667106	8.142503662	10.90872548	1.307677104	1.307677104	11.29239601	9.787501776	13.7293011	10.12208182	7.573372452	3.098691955	2.157288903
ANXA2	9.183385985	8.924492484	10.13400634	3.382245389	13.25907628	1.307677104	12.86163988	4.689937445	9.388317544	12.55580608	3.87160932	1.307677104
CD24	8.835907137	9.666854113	1.307677104	1.307677104	12.28644154	8.462875705	1.307677104	12.25847129	3.197562257	6.631085561	12.51729339	4.297223268
LY6D	12.38922665	8.580141231	8.639063314	1.307677104	10.45642892	13.15708461	11.20419579	3.039919248	2.448549528	11.96420546	2.077554067	5.739696055
CP2BB	5.306208805	11.99306887	12.31591314	4.250228849	11.26568498	10.33633188	1.307677104	2.56710012	1.307677104	1.307677104	2.612130331	7.269034246
GBLP	10.15735146	5.417433852	11.9890544	2.409682878	1.307677104	12.37659366	11.19178933	13.8751445	13.97054149	13.37974835	12.68005877	11.37586825
RACK1	10.15735146	5.417433852	11.9890544	2.409682878	1.307677104	12.37659366	11.19178933	13.8751445	13.97054149	13.37974835	12.68005877	11.37586825
RL8	12.58884527	12.51571232	5.768878542	11.79698227	11.4299623	12.70421694	11.94591439	3.219779621	3.050922541	3.485943229	3.71660817	13.17207911
IBP5	11.15769711	11.50925434	13.06356897	11.96531767	13.09105821	11.98703385	1.307677104	3.219779621	2.883909261	11.31909546	10.87280424	13.4104904
A2ML1	2.68689769	12.0112111	2.638077196	1.307677104	1.307677104	12.44343032	9.084362548	5.980124902	12.15798858	9.674310962	9.011180893	11.05185167
TELT	2.968667106	11.92320999	13.14951177	7.700842188	12.52085471	12.46863104	13.95476478	3.643610544	5.971127291	12.47145447	13.09013469	2.942653335
DDX3X	8.581731145	2.09646585	2.827627227	12.3040194	11.74715881	2.116159092	1.307677104	3.219779621	2.688353455	11.75468046	3.339115988	9.373357252
TKT	11.03136428	12.22655963	7.23804318	10.31662997	11.61817902	11.52112176	2.13748346	2.828232304	14.52225138	13.66157011	3.098691955	11.45383041
VDAC1	12.18079599	5.254322629	2.827627227	12.20535661	11.51056122	11.00204232	1.307677104	10.83875387	4.271048195	9.331250363	2.798538486	12.82877906
PGK1	10.39680563	8.331040785	2.638077196	1.307677104	8.317540906	10.86185301	11.5409867	3.759186026	2.124622121	1.307677104	11.10753183	11.87695726
RL18	2.01669322	1.307677104	1.307677104	2.642303456	11.1825776	9.86320839	8.792792027	4.056457749	12.40956563	11.49011152	2.612130331	5.666119093
CMYA5	11.89818564	12.07398609	6.391055351	13.31559293	3.525696198	9.10731663	14.43788695	1.307677104	12.52401037	8.978020766	6.033195595	4.084063995
PDIA1	7.837928315	11.80216871	12.53615632	11.20547853	10.73703447	10.47301004	2.13748346	13.99050353	2.124622121	12.48789466	2.612130331	10.23043469
ATPA	6.938200598	13.02512614	13.02343283	10.25174014	7.627571403	2.67468824	14.04783652	13.55841428	2.448549528	13.11128897	6.717330815	13.50288545
COX7S	9.271464644	9.779479584	9.915243813	1.307677104	1.307677104	9.960006642	9.943639887	10.72689423	1.307677104	1.307677104	5.072160303	1.307677104
IPSG	2.968667106	4.467390921	1.307677104	5.652698662	5.051327653	1.307677104	2.13748346	8.48208667	6.473247831	14.8803211	11.43728707	1.307677104
RS8	6.156963555	5.653784821	12.85186936	2.994953364	12.11562723	12.0087069	5.166951231	14.9586791	3.556653711	12.23812515	3.444161633	7.778987854
KLF5	12.07135772	11.67104155	11.07603868	10.50975517	7.751565966	1.307677104	11.24078761	3.039919248	8.999969368	10.86064207	2.958179789	1.307677104
RLA1	12.23729851	12.20886756	3.581020933	12.6695884	10.8587537	12.68284124	11.92482958	3.964362386	2.688353455	12.13190365	4.19621677	13.19305745
RL40	2.300774891	9.618942655	11.16623439	9.936192178	8.786198328	10.75399513	10.91255719	13.84541912	2.688353455	2.197285084	2.798538486	11.48485153
RHCG	1.307677104	7.517188931	8.480851136	12.22353426	6.97237079	4.184200037	6.804791309	15.78599621	2.688353455	11.87037316	3.541351041	6.51533731
ACOD1	1.307677104	1.307677104	6.785204916	13.75317807	1.307677104	9.449482648	1.307677104	1.307677104	3.197562257	2.197285084	1.307677104	8.630710327
YBOX3	11.90187003	11.05906489	9.782183209	5.515618524	11.63839701	11.79435637	11.23827628	3.964362386	2.124622121	12.05626016	12.78824448	1.307677104
NUDT4	2.01669322	10.61579995	9.889137324	11.95764014	2.006072899	8.920377887	9.301998923	1.307677104	11.2120523	10.84167483	3.444161633	11.97774419
RL35A	11.26386623	9.338686651	11.40082467	2.409682878	10.06535466	11.140556	10.93939736	1.307677104	1.307677104	10.76562646	12.3587992	11.0452313
MDHM	5.51372381	11.86337104	3.581020933	11.84978411	8.395641057	10.45589983	14.23474384	13.0033519	3.328738606	11.11749652	8.233017076	1.307677104
TPIS	12.30686207	12.9521515	11.95744987	4.128124102	12.54561677	11.68916542	12.24482745	12.82248369	6.319616467	11.51809693	2.384258549	2.740933516
NIPS2	11.84606924	11.89158581	11.34095271	12.60733766	7.813580974	12.00647025	13.0662103	3.643610544	11.85212362	1.307677104	3.098691955	11.31011474
CHCH2	11.17683073	1.307677104	2.093538931	2.832362516	1.307677104	1.307677104	10.49539126	2.828232304	3.556653711	2.197285084	12.12864911	1.307677104
PDLI3	2.300774891	11.29947948	11.16102622	12.58775333	2.815115171	3.310156144	3.076060543	11.03318628	2.883909261	9.474069197	3.224664234	9.74864895
TGM3	13.40666514	7.952327173	14.94720572	3.382245389	12.7626698	14.07453627	13.47877201	14.15367534	12.50855257	7.393316047	2.958179789	10.39663008
MUCAP	1.307677104	2.09646585	1.307677104	2.409682878	1.307677104	1.307677104	1.307677104	3.039919248	3.050922541	1.307677104	16.30255337	2.740933516
AT2A1	10.84776738	13.79736681	13.00624218	13.40953651	12.31200851	12.91116909	14.85421139	6.732871862	3.197562257	13.09936132	3.631860602	15.3362345
ZG16B	1.307677104	2.410119678	1.307677104	4.362496858	3.74040475	2.116159092	2.466074274	4.300851073	5.092470025	9.128335064	16.06404573	2.942653335
CYTX	8.071796349	3.99508647	15.83528211	8.995785563	1.307677104	1.307677104	5.233316135	3.865635621	6.062074891	8.493779033	6.697389506	1.307677104
KPYM	12.71632582	8.580141231	5.328479675	4.466433694	12.12559227	13.55004996	2.13748346	3.759186026	4.499153017	11.83052339	10.6582439	12.23049108
BPIB1	5.350186172	6.362010547	3.482625525	5.002101665	2.286167449	3.310156144	5.833732845	1.307677104	6.563117143	16.84850977	9.356003092	2.493024408
TNNT3	11.59953547	11.67372406	11.81490072	12.57149699	4.561939472	13.90486316	12.97367547	12.99289937	3.050922541	12.18041668	2.798538486	12.97321735
LYG1	9.544412838	11.29556622	4.730779929	1.307677104	9.173754276	11.66135747	2.13748346	11.21794924	3.050922541	11.96350378	3.339115988	10.02187481
SLPI	8.19103185	11.52605167	12.48174773	7.901704022	12.83078632	8.872055814	3.356869179	2.56710012	3.197562257	1.307677104	2.958179789	4.645523405
PABP1	8.996153982	8.630719496	2.827627227	12.95632969	2.495356938	7.965196305	3.782952532	5.125787658	14.28606582	12.93262857	4.359824855	9.859835298
ACOD	9.187920002	4.858724017	6.785204916	10.50374243	10.52868669	1.307677104	1.307677104	10.94256102	4.389731926	10.60663744	1.307677104	1.307677104
RS15A	11.45561146	10.43866581	1.307677104	11.2045521	10.69338013	10.68644266	3.871190418	13.36988134	12.30653732	10.96178028	11.9409076	2.493024408
GBB1	9.100841943	1.307677104	8.774202761	10.29850997	8.194755944	1.307677104	1.307677104	12.71384239	2.883909261	9.12582853	4.680578385	10.56764814
TNNI2	12.73555145	13.06794182	4.555285181	11.59440435	12.56038557	14.32398149	14.28312026	3.219779621	12.66938748	12.48862642	3.94294925	9.812419269
S10A2	1.307677104	2.09646585	2.989807412	4.819205435	2.006072899	4.184200037	2.466074274	13.75992391	12.42654233	6.187204797	2.798538486	2.493024408
GNAS	4.834226918	11.46541768	2.638077196	12.83016738	2.006072899	9.982940005	10.95722097	3.759186026	11.71016173	3.347297238	5.008514992	10.22085283
