	Chiroderma_villosum	Carollia_brevicauda	Sturnira_ludovici	Artibeus_jamaicensis	Hsunycteris_thomasi	Anoura_geoffroyi	Glossophaga_soricina	Noctilio_leporinus	Mormoops_blainvillei	Macrotus_waterhousi	Pteronotus_pusillus	Desmodus_rotundus
sp|P48962|ADT1_MOUSE	14.20248339	13.31835505	2.482495847	12.58589758	12.28493613	11.29417712	13.80937117	2.802555411	2.723479219	11.84980628	2.150589549	11.6841005
sp|P02538|K2C6A_HUMAN	14.03001715	1.443088467	3.780395213	3.983865514	12.22623152	4.132420493	11.28590978	2.995590903	1.443088467	12.91506715	4.029122925	12.77227009
sp|Q9HC84|MUC5B_HUMAN	1.443088467	1.443088467	2.884346055	8.876077935	1.443088467	1.443088467	1.443088467	1.443088467	3.064207824	14.83732697	13.49618371	1.443088467
sp|P63092|GNAS2_HUMAN	1.443088467	1.443088467	11.93490022	12.7630003	2.098093497	1.443088467	1.443088467	12.02095033	11.61316365	3.431369088	10.13894835	3.689170107
sp|P63091|GNAS_CANLF	1.443088467	1.443088467	11.93490022	12.7630003	2.098093497	1.443088467	1.443088467	12.02095033	11.61316365	3.431369088	10.13894835	3.689170107
sp|P03920|NU5M_BOVIN	2.10643049	1.443088467	1.443088467	1.443088467	2.36178092	2.185746503	2.784115954	3.660916198	3.064207824	15.50908175	3.51908637	14.67427661
sp|Q64578|AT2A1_RAT	10.78800299	9.968479082	12.97513884	13.34232051	12.25915828	12.79585198	14.85314299	1.443088467	2.499418	10.13698567	3.605118798	2.217952165
sp|Q9BE24|LDHA_MACFA	11.54774206	1.443088467	12.76307978	13.0537072	1.443088467	11.94188078	13.28148249	12.62717555	12.00287761	1.443088467	12.08626647	12.43358459
sp|P82460|THIO_PIG	1.443088467	11.37768483	10.92081665	1.443088467	11.60559753	1.443088467	11.7087679	1.443088467	2.723479219	1.443088467	2.434103142	11.24822045
sp|B4F7E8|NIBA2_RAT	12.99468876	12.50185384	12.93525615	12.00267515	5.823298729	1.443088467	10.37013344	4.36951279	3.327006435	11.5780488	1.443088467	1.443088467
sp|A3RF36|AL3A1_CANLF	11.73716651	13.61944066	12.18979581	4.896565874	2.36178092	5.176695973	11.94899716	16.32043641	10.80882216	4.970645195	14.95953965	2.755642871
sp|P00489|PYGM_RABIT	2.737621738	11.66950651	9.101014323	14.02159094	11.96166947	15.11459286	12.40268667	1.443088467	14.50578953	13.94201983	3.100810506	12.2492295
sp|Q60HC7|TKT_MACFA	10.9715328	12.194721	3.697351029	10.25015795	11.56544966	11.40608972	2.235508479	2.802555411	2.499418	13.71188293	13.33982555	1.443088467
sp|P27635|RL10_HUMAN	10.32874053	12.46786839	13.56802694	12.71180309	11.94089755	12.47072169	1.443088467	15.05126282	13.56186998	8.925523192	3.100810506	1.443088467
sp|P45378|TNNT3_HUMAN	10.9275758	1.443088467	11.78393365	12.50435894	12.24312823	5.493404518	1.443088467	1.443088467	9.649672765	1.443088467	2.434103142	11.34763663
sp|Q1KMR4|PDK4_RHIFE	2.737621738	12.84309176	12.36463218	13.58873699	1.443088467	1.443088467	13.40061636	5.002583211	3.639790839	8.95506487	6.825867567	12.40523234
sp|Q8WNW3|PLAK_PIG	1.443088467	12.5406372	12.6149006	10.19156774	1.443088467	13.43140311	2.550492191	3.853391485	2.723479219	4.823364668	10.23631239	1.443088467
sp|Q28161|PKP1_BOVIN	12.29825648	12.67142352	1.443088467	1.443088467	1.443088467	7.588617441	12.40291076	1.443088467	3.327006435	1.443088467	1.443088467	1.443088467
sp|O00571|DDX3X_HUMAN	1.443088467	1.443088467	12.3451535	12.23691737	11.69440239	2.185746503	1.443088467	2.566050219	2.723479219	11.80508533	3.327477899	9.238298952
sp|Q9JKB3|YBOX3_MOUSE	1.443088467	1.443088467	1.443088467	5.470403285	11.58566325	1.443088467	1.443088467	11.94375396	2.198175254	2.30758961	12.67475516	10.86145536
sp|P20801|TNNC2_MOUSE	1.443088467	1.443088467	6.30410653	1.443088467	11.2674457	1.443088467	1.443088467	1.443088467	13.6500271	11.70083186	1.443088467	1.443088467
sp|Q4R7Y4|GBLP_MACFA	10.09793125	5.404665599	11.95805977	2.473443487	1.443088467	12.26135547	11.19099965	13.66120976	13.87324837	1.443088467	12.56658425	11.23913863
